Date,Rate_BRL,Rate_CHI,Gold,Rate_COP
1994-06-08,0.7439,422.46,382.1,839.56
1994-06-09,0.7573,421.79,383.3,838.03
1994-06-10,0.7706,421.72,384.1,834.96
1994-06-13,0.7846,422.87,383.7,834.96
1994-06-14,0.7985,421.79,384.5,833.19
1994-06-15,0.8129,421.03,387.2,833.16
1994-06-16,0.8278,420.73,386.0,833.35
1994-06-17,0.843,420.65,388.25,831.28
1994-06-20,0.8585,420.41,389.4,826.61
1994-06-21,0.8748,418.1,394.55,828.94
1994-06-22,0.8916,417.73,390.1,826.9
1994-06-23,0.9087,418.03,389.75,824.76
1994-06-24,0.9261,420.39,391.6,822.87
1994-06-27,0.9441,419.76,385.1,821.0
1994-06-28,0.9625,418.13,386.7,820.13
1994-06-29,0.9813,418.94,385.1,818.73
1994-06-30,1.0,418.34,386.3,819.64
1994-07-01,1.0,418.34,387.2,818.05
1994-07-04,0.94,418.34,387.2,818.05
1994-07-05,0.93,420.47,386.3,817.92
1994-07-06,0.915,420.47,384.1,818.45
1994-07-07,0.911,420.06,385.2,820.42
1994-07-08,0.935,420.67,383.5,820.24
1994-07-11,0.92,421.77,386.2,822.34
1994-07-12,0.917,419.83,385.8,822.14
1994-07-13,0.921,418.39,383.7,823.12
1994-07-14,0.921,418.54,384.2,822.79
1994-07-15,0.935,418.94,386.3,822.28
1994-07-18,0.934,419.67,386.1,821.04
1994-07-19,0.931,419.16,387.0,818.44
1994-07-20,0.927,419.78,385.6,818.44
1994-07-21,0.936,421.05,386.8,817.49
1994-07-22,0.935,421.08,385.3,817.18
1994-07-25,0.936,422.21,385.25,816.68
1994-07-26,0.935,422.07,386.5,816.34
1994-07-27,0.937,422.58,388.0,815.75
1994-07-28,0.942,423.11,388.1,815.8
1994-07-29,0.938,423.98,383.6,815.62
1994-08-01,0.926,423.98,384.0,815.62
1994-08-02,0.919,422.72,379.4,815.89
1994-08-03,0.91,422.29,378.2,814.53
1994-08-04,0.91,421.59,378.2,812.69
1994-08-05,0.912,420.36,378.5,812.57
1994-08-08,0.901,420.53,377.75,811.91
1994-08-09,0.895,420.01,378.3,812.39
1994-08-10,0.892,419.03,377.9,813.64
1994-08-11,0.899,418.44,377.75,815.4
1994-08-12,0.903,419.56,376.8,815.84
1994-08-15,0.895,418.47,377.1,815.84
1994-08-16,0.896,418.47,376.4,814.94
1994-08-17,0.898,418.89,377.8,814.4
1994-08-18,0.8945,418.7,381.4,813.93
1994-08-19,0.893,418.08,382.4,813.88
1994-08-22,0.886,417.06,382.3,813.76
1994-08-23,0.886,416.46,382.1,815.2
1994-08-24,0.8835,417.24,384.1,816.58
1994-08-25,0.8865,417.54,383.7,816.77
1994-08-26,0.887,418.17,383.7,817.4
1994-08-29,0.895,419.14,387.4,816.29
1994-08-30,0.886,420.31,386.9,816.18
1994-08-31,0.888,418.33,386.6,816.3
1994-09-01,0.884,418.33,387.3,816.08
1994-09-02,0.885,417.43,387.4,817.64
1994-09-05,0.892,420.0,387.35,818.81
1994-09-06,0.884,415.99,388.3,817.8
1994-09-07,0.884,415.83,390.5,818.21
1994-09-08,0.88,415.74,392.0,819.24
1994-09-09,0.871,415.87,392.1,820.02
1994-09-12,0.852,416.44,391.2,820.26
1994-09-13,0.859,415.11,390.9,821.62
1994-09-14,0.854,415.24,390.7,824.34
1994-09-15,0.858,414.24,388.5,827.86
1994-09-16,0.8555,414.16,390.2,833.1
1994-09-19,0.853,414.12,390.2,837.21
1994-09-20,0.853,414.12,393.8,838.63
1994-09-21,0.856,414.51,394.4,841.82
1994-09-22,0.854,414.66,395.8,842.7
1994-09-23,0.858,413.73,396.5,841.53
1994-09-26,0.861,413.12,396.25,839.46
1994-09-27,0.864,413.65,398.2,840.23
1994-09-28,0.863,413.1,395.9,841.51
1994-09-29,0.851,412.41,396.0,841.32
1994-09-30,0.852,412.32,394.25,841.2
1994-10-03,0.852,412.32,396.0,843.0
1994-10-04,0.848,414.2,393.0,843.65
1994-10-05,0.846,413.65,393.0,844.0
1994-10-06,0.845,413.73,392.25,842.54
1994-10-07,0.843,413.88,393.25,840.06
1994-10-10,0.838,419.0,391.75,836.8
1994-10-11,0.834,415.94,388.25,835.59
1994-10-12,0.834,415.09,388.2,835.3
1994-10-13,0.835,415.09,386.7,836.4
1994-10-14,0.828,413.93,387.75,835.75
1994-10-17,0.828,412.24,389.5,834.0
1994-10-18,0.846,410.22,390.25,836.4
1994-10-19,0.852,410.34,391.25,835.3
1994-10-20,0.855,410.64,391.75,836.72
1994-10-21,0.852,411.08,391.0,838.32
1994-10-24,0.852,410.73,390.0,841.41
1994-10-25,0.853,411.33,389.75,842.6
1994-10-26,0.855,410.23,389.25,843.38
1994-10-27,0.851,410.52,389.0,841.32
