Fecha sistema,Fecha (Mes año),Índice ,Variación mensual (%),Variación anual (%),Variación año corrido (%),Orden_División,División del gasto
24/04/2026 08:50:06,1970-04-30 00:00:00,0.115784703341458,1.39,7.43,2.27,30,Total
24/04/2026 08:50:06,1970-05-31 00:00:00,0.116366136163079,0.5,7.01,2.78,30,Total
24/04/2026 08:50:06,1970-06-30 00:00:00,0.117592519677592,1.05,7.56,3.87,30,Total
24/04/2026 08:50:06,1970-07-31 00:00:00,0.117922673008477,0.28,7.44,4.16,30,Total
24/04/2026 08:50:06,1970-08-31 00:00:00,0.117242822386317,-0.58,6.43,3.56,30,Total
24/04/2026 08:50:06,1970-09-30 00:00:00,0.118094380660481,0.73,6.51,4.31,30,Total
24/04/2026 08:50:06,1970-10-31 00:00:00,0.118171858503458,0.07,5.22,4.38,30,Total
24/04/2026 08:50:06,1970-11-30 00:00:00,0.119492471826997,1.12,6.12,5.55,30,Total
24/04/2026 08:50:06,1970-12-31 00:00:00,0.120665109450436,0.98,6.58,6.58,30,Total
24/04/2026 08:50:06,1971-01-31 00:00:00,0.122569249591353,1.58,8.26,1.58,30,Total
24/04/2026 08:50:06,1971-02-28 00:00:00,0.123602985496301,0.84,9.15,2.43,30,Total
24/04/2026 08:50:06,1971-03-31 00:00:00,0.124826577016473,0.99,9.3,3.45,30,Total
24/04/2026 08:50:06,1971-04-30 00:00:00,0.127106240396325,1.83,9.78,5.34,30,Total
24/04/2026 08:50:06,1971-05-31 00:00:00,0.128627877312454,1.2,10.54,6.6,30,Total
24/04/2026 08:50:06,1971-06-30 00:00:00,0.129348909851151,0.56,10,7.2,30,Total
24/04/2026 08:50:06,1971-07-31 00:00:00,0.131121128259432,1.37,11.19,8.67,30,Total
24/04/2026 08:50:06,1971-08-31 00:00:00,0.132520615423119,1.07,13.03,9.83,30,Total
24/04/2026 08:50:06,1971-09-30 00:00:00,0.133607399220556,0.82,13.14,10.73,30,Total
24/04/2026 08:50:06,1971-10-31 00:00:00,0.135485713413814,1.41,14.65,12.28,30,Total
24/04/2026 08:50:06,1971-11-30 00:00:00,0.13693685247282,1.07,14.6,13.49,30,Total
24/04/2026 08:50:06,1971-12-31 00:00:00,0.13759715913459,0.48,14.03,14.03,30,Total
24/04/2026 08:50:06,1972-01-31 00:00:00,0.139116004056377,1.1,13.5,1.1,30,Total
24/04/2026 08:50:06,1972-02-29 00:00:00,0.140714420816898,1.15,13.84,2.27,30,Total
24/04/2026 08:50:06,1972-03-31 00:00:00,0.14209506201878,0.98,13.83,3.27,30,Total
24/04/2026 08:50:06,1972-04-30 00:00:00,0.144215581721165,1.49,13.46,4.81,30,Total
24/04/2026 08:50:06,1972-05-31 00:00:00,0.145372863375725,0.8,13.02,5.65,30,Total
24/04/2026 08:50:06,1972-06-30 00:00:00,0.146902178276294,1.05,13.57,6.76,30,Total
24/04/2026 08:50:06,1972-07-31 00:00:00,0.148614368806231,1.17,13.34,8.01,30,Total
24/04/2026 08:50:06,1972-08-31 00:00:00,0.14962088276635,0.68,12.9,8.74,30,Total
24/04/2026 08:50:06,1972-09-30 00:00:00,0.151783980382443,1.45,13.6,10.31,30,Total
24/04/2026 08:50:06,1972-10-31 00:00:00,0.154775602319383,1.97,14.24,12.48,30,Total
24/04/2026 08:50:06,1972-11-30 00:00:00,0.156531068761614,1.13,14.31,13.76,30,Total
24/04/2026 08:50:06,1972-12-31 00:00:00,0.156850054115133,0.2,13.99,13.99,30,Total
24/04/2026 08:50:06,1973-01-31 00:00:00,0.158525250720045,1.07,13.95,1.07,30,Total
24/04/2026 08:50:06,1973-02-28 00:00:00,0.161731158222696,2.02,14.94,3.11,30,Total
24/04/2026 08:50:06,1973-03-31 00:00:00,0.167321428893007,3.46,17.75,6.68,30,Total
24/04/2026 08:50:06,1973-04-30 00:00:00,0.173190200998884,3.51,20.09,10.42,30,Total
24/04/2026 08:50:06,1973-05-31 00:00:00,0.178375632489673,2.99,22.7,13.72,30,Total
24/04/2026 08:50:06,1973-06-30 00:00:00,0.18182095350711,1.93,23.77,15.92,30,Total
24/04/2026 08:50:06,1973-07-31 00:00:00,0.185439378173721,1.99,24.78,18.23,30,Total
24/04/2026 08:50:06,1973-08-31 00:00:00,0.184684841702925,-0.41,23.44,17.75,30,Total
24/04/2026 08:50:06,1973-09-30 00:00:00,0.187239516525417,1.38,23.36,19.37,30,Total
24/04/2026 08:50:06,1973-10-31 00:00:00,0.188271856433194,0.55,21.64,20.03,30,Total
24/04/2026 08:50:06,1973-11-30 00:00:00,0.192357242153425,2.17,22.89,22.64,30,Total
24/04/2026 08:50:06,1973-12-31 00:00:00,0.194625039557325,1.18,24.08,24.08,30,Total
24/04/2026 08:50:06,1974-01-31 00:00:00,0.200180410298366,2.85,26.28,2.85,30,Total
