Date,Dif Rates,Rate_COP
2019-08-15,-1.9410000000000003,3471.73
2019-08-16,-1.9900000000000002,3426.75
2019-08-20,-1.9930000000000003,3408.98
2019-08-21,-2.0210000000000004,3377.6
2019-08-22,-2.029,3390.5
2019-08-23,-2.022,3423.0
2019-08-26,-2.023,3444.77
2019-08-27,-1.9730000000000003,3469.98
2019-08-28,-2.003,3477.05
2019-08-29,-2.005,3439.08
2019-08-30,-1.9639999999999995,3442.35
2019-09-02,-1.96,3459.0
2019-09-03,-1.944,3443.23
2019-09-04,-1.9030000000000005,3397.7
2019-09-05,-1.904,3380.8
2019-09-06,-1.9650000000000003,3357.25
2019-09-09,-1.992,3371.82
2019-09-10,-1.9700000000000002,3362.52
2019-09-11,-1.9570000000000003,3375.05
2019-09-12,-1.9050000000000002,3366.6
2019-09-13,-1.9059999999999997,3363.5
2019-09-16,-1.6750000000000003,3364.48
2019-09-17,1.1440000000000001,3385.48
2019-09-18,-1.556,3373.75
2019-09-19,-2.1559999999999997,3384.75
2019-09-20,-2.245,3416.2
2019-09-23,-2.2550000000000003,3437.0
2019-09-24,-2.1450000000000005,3435.25
2019-09-25,-2.0950000000000006,3431.52
2019-09-26,-2.256,3448.38
2019-09-27,-2.2859999999999996,3459.8
2019-09-30,-1.7559999999999998,3477.03
2019-10-01,-2.226,3496.1
2019-10-02,-2.2550000000000003,3497.36
2019-10-03,-2.2650000000000006,3450.55
2019-10-04,-2.2859999999999996,3436.0
2019-10-07,-2.276,3452.48
2019-10-08,-2.2550000000000003,3453.45
2019-10-09,-2.256,3467.75
2019-10-10,-2.256,3459.13
2019-10-11,-2.256,3431.02
2019-10-14,-2.256,3431.46
2019-10-15,-2.106,3451.7
2019-10-16,-2.056,3459.27
2019-10-17,-2.1550000000000002,3451.5
2019-10-18,-2.2270000000000003,3425.65
2019-10-21,-2.247,3448.52
2019-10-22,-2.237,3432.2
2019-10-23,-2.239,3393.85
2019-10-24,-2.25,3406.07
2019-10-25,-2.2720000000000002,3395.73
2019-10-28,-2.293,3395.25
2019-10-29,-2.3000000000000003,3377.02
2019-10-30,-2.29,3389.65
2019-10-31,-2.3520000000000003,3379.55
2019-11-01,-2.5300000000000002,3325.7
2019-11-04,-2.5500000000000003,3339.19
2019-11-05,-2.5300000000000002,3311.93
2019-11-06,-2.537,3338.0
2019-11-07,-2.547,3319.77
2019-11-08,-2.546,3339.41
2019-11-11,-2.546,3341.01
2019-11-12,-2.535,3409.0
2019-11-13,-2.5359999999999996,3428.85
2019-11-14,-2.526,3453.9
2019-11-15,-2.516,3426.23
2019-11-18,-2.5450000000000004,3442.27
2019-11-19,-2.5359999999999996,3439.5
2019-11-20,-2.537,3442.7
2019-11-21,-2.529,3420.4
2019-11-22,-2.5309999999999997,3425.0
2019-11-25,-2.5500000000000003,3435.15
2019-11-26,-2.5730000000000004,3475.95
2019-11-27,-2.5630000000000006,3509.02
2019-11-28,-2.5630000000000006,3513.0
2019-11-29,-2.459,3516.93
2019-12-02,-2.4800000000000004,3508.77
2019-12-03,-2.561,3504.4
2019-12-04,-2.5700000000000003,3471.0
2019-12-05,-2.5620000000000003,3458.45
2019-12-06,-2.5630000000000006,3425.13
2019-12-09,-2.549,3418.88
2019-12-10,-2.556,3405.35
2019-12-11,-2.5650000000000004,3376.3
2019-12-12,-2.575,3373.05
2019-12-13,-2.564,3375.85
2019-12-16,-2.4850000000000003,3354.55
2019-12-17,-2.5650000000000004,3343.04
2019-12-18,-2.5759999999999996,3327.55
2019-12-19,-2.5759999999999996,3315.5
2019-12-20,-2.5759999999999996,3331.7
2019-12-23,-2.5850000000000004,3312.75
2019-12-24,-2.5829999999999997,3299.0
2019-12-26,-2.587,3286.2
2019-12-27,-2.5789999999999997,3301.25
2019-12-30,-2.5709999999999997,3287.5
2019-12-31,-2.561,3277.14
2020-01-02,-2.574,3255.95
2020-01-03,-2.566,3263.95
2020-01-06,-2.566,3262.05
2020-01-07,-2.552,3273.0
2020-01-08,-2.559,3246.88
2020-01-09,-2.5600000000000005,3255.98
2020-01-10,-2.5620000000000003,3271.95
2020-01-13,-2.5700000000000003,3269.45
2020-01-14,-2.5570000000000004,3286.52
2020-01-15,-2.547,3298.9
2020-01-16,-2.5570000000000004,3322.4
2020-01-17,-2.567,3332.0
2020-01-20,-2.5650000000000004,3332.52
2020-01-21,-2.567,3353.52
2020-01-22,-2.567,3332.38
2020-01-23,-2.5679999999999996,3360.96
2020-01-24,-2.5779999999999994,3366.05
2020-01-27,-2.5789999999999997,3400.13
2020-01-28,-2.5789999999999997,3385.6
2020-01-29,-2.5789999999999997,3389.05
2020-01-30,-2.527,3414.75
2020-01-31,-2.509,3420.65
2020-02-03,-2.519,3395.75
2020-02-04,-2.507,3361.45
2020-02-05,-2.518,3362.48
2020-02-06,-2.518,3380.15
2020-02-07,-2.5279999999999996,3414.45
2020-02-10,-2.526,3453.7
2020-02-11,-2.527,3420.43
2020-02-12,-2.535,3388.63
2020-02-13,-2.5359999999999996,3376.52
2020-02-14,-2.526,3392.1
2020-02-17,-2.5279999999999996,3397.77
2020-02-18,-2.506,3407.73
2020-02-19,-2.5150000000000006,3391.07
2020-02-20,-2.5079999999999996,3403.5
2020-02-21,-2.526,3381.61
2020-02-24,-2.5250000000000004,3432.47
2020-02-25,-2.5150000000000006,3430.44
2020-02-26,-2.526,3451.74
2020-02-27,-2.5250000000000004,3476.44
2020-02-28,-2.5079999999999996,3529.05
2020-03-02,-2.518,3495.55
2020-03-03,-2.4650000000000007,3459.59
2020-03-04,-2.8779999999999997,3473.82
2020-03-05,-2.987,3522.0
2020-03-06,-3.007,3586.14
2020-03-09,-3.019,3792.83
2020-03-10,-3.0,3795.93
2020-03-11,-2.9570000000000003,3849.96
2020-03-12,-2.9050000000000002,3951.57
2020-03-13,-3.007,3981.25
2020-03-16,-3.8470000000000004,4090.0
2020-03-17,-3.5629999999999997,4022.8
2020-03-18,-3.9949999999999997,4100.77
2020-03-19,-4.027,4106.38
2020-03-20,-4.005,4092.34
2020-03-24,-4.0,4104.03
2020-03-25,-3.9650000000000003,4079.91
